k,qlen,v1,v2
101.11,72,1.3,1.4
101.36,76,1.2,1.4
101.59,86,0.9,1.4
101.61,86,0.5,1.4
101.61,86,0.6,1.4
101.7,85,0.7,1.4
101.7,85,0.8,1.4
101.79,80,1.1,1.4
101.94,85,1,1.4
105.59,34,0.9,0.95
105.59,34,0.95,0.95
105.6,34,0.85,0.95
105.9,35,1,0.95
106.2,38,1.15,0.95
106.21,37,1.1,0.95
106.25,38,1.2,0.95
106.31,35,1.05,0.95
106.91,106,1,1.5
106.96,100,1.1,1.5
106.96,97,1.2,1.5
107.04,106,0.9,1.5
107.05,106,0.5,1.5
107.05,106,0.6,1.5
107.1,93,1.3,1.5
107.15,106,0.7,1.5
107.15,106,0.8,1.5
107.23,39,1.25,0.95
107.59,93,1.3,1.6
107.67,100,1.1,1.6
107.67,97,1.2,1.6
107.73,106,1,1.6
107.87,106,0.9,1.6
107.91,106,0.5,1.6
107.91,106,0.6,1.6
108.24,106,0.7,1.6
108.24,106,0.8,1.6
109.19,106,1,1.7
109.28,100,1.1,1.7
109.29,97,1.2,1.7
109.47,108,0.7,1.7
109.47,108,0.8,1.7
109.56,107,0.9,1.7
109.57,106,0.5,1.7
109.57,106,0.6,1.7
109.72,71,0.9,1.3
109.92,65,1.1,1.3
109.94,70,0.5,1.3
109.94,70,0.6,1.3
109.94,70,0.7,1.3
109.94,70,0.8,1.3
110.35,58,1.3,1.3
110.39,61,1.15,1.25
110.41,63,1.1,1.25
110.51,61,1.2,1.3
110.57,69,1,1.3
110.74,61,1.15,1.2
110.77,63,1.1,1.2
110.93,57,1.3,1.2
110.99,56,1.25,1.25
111.04,60,1.2,1.25
111.38,69,0.9,1.25
111.39,59,1.05,1.25
111.41,59,1,1.25
111.41,69,0.85,1.25
111.43,69,0.95,1.25
111.47,56,1.25,1.2
111.51,70,0.9,1.2
111.52,69,0.95,1.2
111.53,69,0.85,1.2
111.58,60,1.2,1.2
111.65,60,1.05,1.2
111.71,69,1,1.2
111.8,69,0.5,1.2
111.8,69,0.6,1.2
111.8,69,0.7,1.2
111.8,69,0.8,1.2
111.81,57,1.25,1.15
111.9,59,1.2,1.15
111.97,61,1.05,1.15
111.98,57,1.15,1.15
111.98,58,1.1,1.15
112.46,65,1,1.15
112.55,64,0.95,1.15
112.56,64,0.85,1.15
112.56,64,0.9,1.15
113.42,50,1.3,1.1
113.66,50,1.1,1.1
113.92,50,1.15,1.05
113.95,50,1.15,1.1
113.96,50,1.05,1.1
113.98,48,1.05,1.05
114.03,42,0.9,1
114.03,42,0.95,1
114.03,48,1.1,1.05
114.05,42,0.85,1
114.11,43,1,1
114.16,43,0.5,1
114.16,43,0.6,1
114.16,43,0.7,1
114.16,43,0.8,1
114.16,44,1.1,1
114.19,50,1.25,1.1
114.23,50,1.2,1.1
114.25,46,1.15,1
114.27,50,1.2,1.05
114.32,43,1.05,1
114.38,51,1,1.1
114.39,47,1,1.05
114.41,49,1.25,1.05
114.44,50,0.95,1.1
114.45,50,0.85,1.1
114.45,50,0.9,1.1
114.47,50,0.5,1.1
114.47,50,0.6,1.1
114.47,50,0.7,1.1
114.47,50,0.8,1.1
114.5,46,0.95,1.05
114.51,47,0.9,1.05
114.52,46,0.85,1.05
114.93,46,1.2,1
114.99,49,1.3,1
115.16,48,1.25,1
115.87,24,0.9,0.7
115.87,24,0.9,0.8
115.87,24,0.9,0.85
115.87,24,0.95,0.85
115.87,24,1,0.7
115.87,24,1,0.8
115.87,24,1,0.85
115.87,24,1.05,0.85
116.3,20,0.5,0.5
116.3,20,0.5,0.6
116.3,20,0.6,0.5
116.3,20,0.6,0.6
116.3,20,0.7,0.5
116.3,20,0.7,0.6
116.3,20,0.8,0.5
116.3,20,0.8,0.6
116.3,20,0.9,0.5
116.3,20,0.9,0.6
116.3,20,1,0.5
116.3,20,1,0.6
116.3,20,1.1,0.5
116.3,20,1.1,0.6
116.32,24,0.5,0.7
116.32,24,0.5,0.8
116.32,24,0.6,0.7
116.32,24,0.6,0.8
116.32,24,0.7,0.7
116.32,24,0.7,0.8
116.32,24,0.8,0.7
116.32,24,0.8,0.8
116.39,24,0.95,0.9
116.4,25,0.85,0.85
116.57,25,1.1,0.7
116.57,25,1.1,0.8
116.57,25,1.1,0.85
116.57,25,1.15,0.85
116.81,26,0.7,0.9
116.81,26,0.8,0.9
116.81,26,0.85,0.9
116.81,26,0.9,0.9
116.81,27,0.5,0.9
116.81,27,0.6,0.9
116.92,21,1.2,0.5
116.92,21,1.2,0.6
116.93,25,1.2,0.7
116.93,25,1.2,0.8
116.93,25,1.2,0.85
117.27,31,1.3,0.9
117.42,26,1.15,0.9
117.43,24,1,0.9
117.43,24,1.05,0.9
117.43,25,1.1,0.9
117.53,22,1.3,0.5
117.53,22,1.3,0.6
117.71,27,1.3,0.7
117.71,27,1.3,0.8
117.78,25,1.25,0.85
117.84,27,1.2,0.9
118.75,27,1.25,0.9
