x1,x2,x3,x4,y_predsr,y_test,y_pred
5.8,4.0,1.2,0.2,2.0302755519659783,2,2
5.1,2.5,3.0,1.1,2.249762021325244,3,2
6.6,3.0,4.4,1.4,2.0081132352973277,3,2
5.4,3.9,1.3,0.4,1.8490683454906134,2,2
7.9,3.8,6.4,2.0,1.2352639103163594,1,1
6.3,3.3,4.7,1.6,1.5352709545302972,3,2
6.9,3.1,5.1,2.3,1.3691052372772012,1,1
5.1,3.8,1.9,0.4,1.7961362123433326,2,2
4.7,3.2,1.6,0.2,2.2939413138059987,2,2
6.9,3.2,5.7,2.3,1.250640753343335,1,1
5.6,2.7,4.2,1.3,2.025816268916586,3,2
5.4,3.9,1.7,0.4,1.8212704219905949,2,2
7.1,3.0,5.9,2.1,1.5826337488578068,1,2
6.4,3.2,4.5,1.5,1.7221158949125468,3,2
6.0,2.9,4.5,1.5,1.835081562189274,3,2
4.4,3.2,1.3,0.2,2.2267869098499213,2,2
5.8,2.6,4.0,1.2,2.2419954914925335,3,2
5.6,3.0,4.5,1.5,1.640976834730647,3,2
5.4,3.4,1.5,0.4,2.2190073771597962,2,2
5.0,3.2,1.2,0.2,2.4097420838871084,2,2
5.5,2.6,4.4,1.2,2.126194721411424,3,2
5.4,3.0,4.5,1.5,1.5823082703432534,3,2
6.7,3.0,5.0,1.7,1.7952183389768814,3,2
5.0,3.5,1.3,0.3,2.1056457092058842,2,2
7.2,3.2,6.0,1.8,1.6520156460729385,1,2
5.7,2.8,4.1,1.3,1.98533243330145,3,2
5.5,4.2,1.4,0.2,1.7748385462672007,2,2
5.1,3.8,1.5,0.3,1.8907782335980565,2,2
6.1,2.8,4.7,1.2,2.1278167745809156,3,2
6.3,2.5,5.0,1.9,1.9280310081118746,1,2
6.1,3.0,4.6,1.4,1.847542862578833,3,2
7.7,3.0,6.1,2.3,1.6110522847605697,1,2
5.6,2.5,3.9,1.1,2.3338881044186874,3,2
6.4,2.8,5.6,2.1,1.5516774134946183,1,2
5.8,2.8,5.1,2.4,1.209886831443343,1,1
5.3,3.7,1.5,0.2,2.0930584944239943,2,2
5.5,2.3,4.0,1.3,2.3174513432082526,3,2
5.2,3.4,1.4,0.2,2.3009764891568167,2,2
