code,name,tim0
000001,上证指数,1994-01-01
000002,A股指数,1994-01-01
000003,B股指数,1994-01-01
000008,综合指数,1994-01-01
000009,上证380,2011-01-01
000010,上证180,2000-01-01
000011,基金指数,2001-01-01
000012,国债指数,2003-01-01
000016,上证50,2004-01-01
000017,新综指,2006-01-01
000300,沪深300,2005-01-01
399001,深证成指,1994-01-01
399002,深成指R,1994-01-01
399003,成份B指,1994-01-01
399004,深证100R,2003-01-01
399005,中小板指,2009-01-01
399006,创业板指,2011-01-01
399100,深证新指数,2006-01-01
399101,中小板综,2006-01-01
399106,深证综指,2000-01-01
399107,深证A指,2000-01-01
399108,深证B指,2000-01-01
399333,中小板R,2007-01-01
399606,创业板R,2011-01-01
